publication_id,publication_name,publisher_name,channel_id,language,category,language_id,category_id,to_scrape
9274,BYJU'S UGC NET,Gradeup,UCYJwuSC55Lnp6rmhOZov7tA,English,Career,1,26,FALSE
9275,BYJU'S CSIR NET,Gradeup,UCdoiJyQk9CgtBJAtW2M0t1A,English,Career,1,26,FALSE
9276,BYJU'S UPPSC,Gradeup,UCC7lRN7h1QbmqlMZEWctiLA,English,Career,1,26,FALSE
9277,BYJU'S BPSC,Gradeup,UCxRuuu6ii9OWl5CUDim840w,English,Career,1,26,FALSE
9278,BYJU'S CDS,Gradeup,UCrGow2eP8UTMyUxf0Xdfzlg,English,Career,1,26,FALSE
9279,BYJU'S NDA,Gradeup,UC-n8szdwFgv4eAoO-GKbGNA,English,Career,1,26,FALSE
9280,BYJU'S CTET & PRT,Gradeup,UCR4EwBu5Tn1x-z8zgulT-Wg,English,Career,1,26,FALSE
9281,BYJU'S Bank PO,Gradeup,UCiY0rSCiZakRAPkhsEElhBw,English,Career,1,26,FALSE
9282,BYJU'S Regulatory Bodies,Gradeup,UC9Pl36fD2MwvfVSijMTeFyQ,English,Career,1,26,FALSE
9283,BYJU'S SSC & Railway ,Gradeup,UClyn4xufkVCSryKLc7-6c5Q,English,Career,1,26,FALSE
9284,ONE Championship,ONE Championship,UCiormkBf3jm6mfb7k0yPbKA,English,sports,1,12,FALSE
9285,Republic World,Republic World,UCwqusr8YDwM-3mEYTDeJHzw,English,news,1,13,FALSE
9286,Republic Bharat,Republic Bharat,UC7wXt18f2iA3EDXeqAVuKng,Hindi,news,2,13,FALSE
9287,Republic Bangla,Republic Bangla,UCajVjEHDoVn_AHsunUZz_EQ,Bangla,news,7,13,FALSE
9288,Path Of Agriculture,Path Of Agriculture,UCi9lEkQU3WQBXvDTOgellMg,Hindi,Agro,2,51,FALSE
9289,Ravizone Farming Leader,Ravizone Farming Leader,UCGR0bagfzpUuPub4cDpvUmA,Hindi,Agro,2,51,FALSE
9290,FarmTV,FarmTV,UCSvEcMLnAKp-Yzw5L2IIvFA,Kannada,Agro,9,51,FALSE
9291,Farming Engineer,Farming Engineer,UC0eNwX8qwnbRaNQB_SNZC9g,Hindi,Agro,2,51,FALSE
9292,Indian Farmer Entrepreneur,Indian Farmer Entrepreneur,UC7p9KHWja0YxkTXqpshvNiw,Marathi,Agro,4,51,FALSE
9293,Kisanwani,Kisanwani,UCw32iIbC5Zym66Y222tOTlw,Marathi,Agro,4,51,FALSE
9294,Khedutbhai ,Khedutbhai,UCPSfNH-pU60iGdEW3KCZCxg,Gujarati,Agro,3,51,FALSE
9296,Minnambalam,Minnambalam,UCgFSoS8vu0ONak4z5OBORHw,Tamil,news,6,13,FALSE
